,Facies,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Formation_A1 LM,Formation_A1 SH,Formation_B1 LM,Formation_B1 SH,Formation_B2 LM,Formation_B2 SH,Formation_B3 LM,Formation_B3 SH,Formation_B4 LM,Formation_B4 SH,Formation_B5 LM,Formation_B5 SH,Formation_C LM,Formation_C SH,Well Name_ALEXANDER D,Well Name_CHURCHMAN BIBLE,Well Name_CROSS H CATTLE,Well Name_KIMZEY A,Well Name_LUKE G U,Well Name_NEWBY,Well Name_NOLAN,Well Name_Recruit F9,Well Name_SHANKLE,Well Name_SHRIMPLIN
0,3,0.8819112626892849,0.664,2.388762789235098,2.5583894265478038,1.7227665977411035,1,1.0,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
1,3,0.8820653143514254,0.661,2.7212954278522306,2.607492946110895,1.62924053973028,1,0.979,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
2,3,0.8822135668285485,0.658,2.760009940032921,2.642622395779755,1.5260563034950492,1,0.957,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
3,3,0.8834562917236204,0.655,2.7013612129514133,2.6472380617054525,1.5040773967762742,1,0.936,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
4,3,0.8813479749919639,0.647,2.6741486494265287,2.6602595372658615,1.4816045409242156,1,0.915,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
5,3,0.8812245859059177,0.636,2.70805020110221,2.6661859970035113,1.5260563034950492,1,0.894,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
6,3,0.8811736306349949,0.63,2.8094026953624978,2.703372611551099,1.547562508716013,1,0.872,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
7,3,0.8815612492953862,0.625,2.8622008809294686,2.702702594775615,1.5040773967762742,1,0.83,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
8,3,0.8811879209205807,0.624,2.8449093838194073,2.7067159780890733,1.4816045409242156,1,0.809,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
9,3,0.8818035200965753,0.615,2.884800712846709,2.7226103524335397,1.5040773967762742,1,0.787,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
10,3,0.8816517265926478,0.6,2.760009940032921,2.665490586683414,1.5260563034950492,1,0.766,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
11,3,0.8814221750006437,0.583,2.6602595372658615,2.6166656393003573,1.547562508716013,1,0.745,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
12,3,0.8807893818114493,0.561,2.509599262378372,2.600836116795061,1.5040773967762742,1,0.723,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
13,3,0.8830000648123053,0.537,2.6602595372658615,2.768204123921957,1.4816045409242156,1,0.702,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
14,2,0.8841038906743433,0.519,2.72785282839839,2.8653388096203956,1.4350845252893227,1,0.681,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
15,2,0.8820445164095503,0.467,2.5494451709255714,2.830857630363757,1.410986973710262,1,0.638,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
16,2,0.880233493380282,0.438,2.3513752571634776,2.780060737078482,1.410986973710262,1,0.617,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
17,2,0.8788827656905843,0.418,2.2823823856765264,2.7843937676895436,1.3862943611198906,1,0.596,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
18,2,0.8789644485719696,0.401,2.1041341542702074,2.7966713927557385,1.3609765531356006,1,0.574,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
19,2,0.8775110980394651,0.386,2.028148247292285,2.7653752677214793,1.33500106673234,1,0.553,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
20,2,0.8770259541588692,0.369,1.8718021769015913,2.760009940032921,1.3862943611198906,1,0.532,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
21,2,0.8768393548425725,0.352,1.9600947840472698,2.738256043159276,1.3862943611198906,1,0.511,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
22,2,0.8789150104721697,0.344,1.9459101490553132,2.756522854552988,1.3862943611198906,1,0.489,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
23,2,0.8795257664079956,0.342,2.0541237336955462,2.780990825503925,1.3862943611198906,1,0.468,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
24,2,0.8783052864831111,0.346,1.9600947840472698,2.8021475244813256,1.3862943611198906,1,0.447,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
25,3,0.8802733038581665,0.354,1.916922612182061,2.7520670865189842,1.3862943611198906,1,0.404,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
26,3,0.8817025498319554,0.354,1.824549292051046,2.683415920143849,1.3862943611198906,1,0.383,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
27,2,0.8827860010088804,0.348,2.128231705849268,2.7760203275414774,1.3862943611198906,1,0.362,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
28,2,0.8841274452145289,0.346,2.5257286443082556,3.055415275715165,1.410986973710262,1,0.34,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
29,2,0.8847566736453153,0.358,2.7212954278522306,3.2194756449401685,1.3862943611198906,1,0.319,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
30,2,0.88367752440877,0.377,2.7013612129514133,3.201933104137889,1.410986973710262,1,0.298,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
31,2,0.8805998719248682,0.401,2.5257286443082556,2.9650153008919307,1.410986973710262,1,0.277,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
32,2,0.8791723046464092,0.439,2.424802725718295,2.6956401810255284,1.410986973710262,1,0.255,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
33,3,0.8763357509171001,0.47,2.388762789235098,2.3456445824544927,1.4350845252893227,1,0.234,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
34,3,0.8716500611666309,0.493,2.4932054526026954,1.8333811439188745,1.4816045409242156,1,0.213,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
35,3,0.8752634572741551,0.524,2.5726122302071057,1.8349785883480316,1.7227665977411035,1,0.17,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
36,3,0.8809820690390103,0.543,2.509599262378372,2.546315277916644,1.62924053973028,1,0.149,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
37,3,0.8848978282435391,0.555,2.714694743820879,2.926650112366547,1.5040773967762742,1,0.128,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
38,3,0.8858756226773962,0.558,2.8213788864092133,3.051403470924452,1.4350845252893227,1,0.106,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
39,3,0.8823341018537043,0.549,2.803360380906535,2.9481164196123277,1.4350845252893227,1,0.085,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
40,3,0.8796405039800869,0.53,2.70805020110221,2.8166056076565553,1.4586150226995167,1,0.064,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
41,2,0.8811654567676219,0.521,2.7536607123542622,2.8320361808832013,1.4586150226995167,1,0.043,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934,0.693,0.693,0.694,0.6934,0.6934,0.6934,0.6934,0.6934,0.6934
